15
7	1	1	1	1	8	10	10	10	7	1	1	1	1	8
4	0	0	0	0	2	10	11	11	4	0	0	0	0	2
4	0	0	0	0	2	10	11	10	4	0	0	0	0	2
4	0	0	0	0	2	10	11	10	4	0	0	0	0	2
4	0	0	0	0	2	10	11	10	4	0	0	0	0	2
5	3	3	3	3	6	10	11	10	5	3	3	3	3	6
10	12	10	10	10	10	27	20	21	10	10	10	10	10	10
10	12	12	12	12	12	26	28	22	14	14	14	14	14	10
10	10	10	10	10	10	25	24	23	10	10	10	10	14	10
7	1	1	1	1	8	10	13	10	7	1	1	1	1	8
4	0	0	0	0	2	10	13	10	4	0	0	0	0	2
4	0	0	0	0	2	10	13	10	4	0	0	0	0	2
4	0	0	0	0	2	10	13	10	4	0	0	0	0	2
4	0	0	0	0	2	13	13	10	4	0	0	0	0	2
5	3	3	3	3	6	10	10	10	5	3	3	3	3	6
